# == pyFAI calibration ==
# Distance Sample to Detector: 0.5717115570308332 m
# PONI: 1.291e-01, 1.314e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 571.712 mm
# Center: x=763.724, y=750.752 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.17e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> C:/Users/tdouglas/Documents/SHS/data_for_kaushik/Gain_corrected\NiAl8_pt003sec_00000.xy
#       2th_deg             I 
  4.187125e+00    1.023372e+01
  4.195078e+00    1.018974e+01
  4.203031e+00    1.018977e+01
  4.210983e+00    1.016629e+01
  4.218936e+00    1.013631e+01
  4.226889e+00    1.015627e+01
  4.234842e+00    1.022410e+01
  4.242794e+00    1.015946e+01
  4.250747e+00    1.018452e+01
  4.258700e+00    1.007621e+01
  4.266653e+00    1.002876e+01
  4.274605e+00    1.006090e+01
  4.282558e+00    1.010466e+01
  4.290511e+00    9.987215e+00
  4.298464e+00    9.951836e+00
  4.306416e+00    9.947760e+00
  4.314369e+00    9.982447e+00
  4.322322e+00    1.004389e+01
  4.330275e+00    1.009237e+01
  4.338227e+00    1.009459e+01
  4.346180e+00    9.925805e+00
  4.354133e+00    9.944284e+00
  4.362086e+00    1.003544e+01
  4.370038e+00    1.009201e+01
  4.377991e+00    1.000703e+01
  4.385944e+00    9.955420e+00
  4.393897e+00    1.000465e+01
  4.401849e+00    1.005369e+01
  4.409802e+00    1.006019e+01
  4.417755e+00    1.007850e+01
  4.425708e+00    1.002727e+01
  4.433660e+00    9.947914e+00
  4.441613e+00    9.964170e+00
  4.449566e+00    1.000400e+01
  4.457519e+00    1.000737e+01
  4.465471e+00    9.970292e+00
  4.473424e+00    9.954059e+00
  4.481377e+00    1.005346e+01
  4.489330e+00    1.006580e+01
  4.497282e+00    1.016757e+01
  4.505235e+00    1.021012e+01
  4.513188e+00    1.018066e+01
  4.521141e+00    1.019744e+01
  4.529094e+00    1.019636e+01
  4.537046e+00    1.021412e+01
  4.544999e+00    1.021017e+01
  4.552952e+00    1.019440e+01
  4.560905e+00    1.021278e+01
  4.568857e+00    1.027076e+01
  4.576810e+00    1.036491e+01
  4.584763e+00    1.049147e+01
  4.592716e+00    1.071699e+01
  4.600668e+00    1.116925e+01
  4.608621e+00    1.221323e+01
  4.616574e+00    1.407703e+01
  4.624527e+00    1.692296e+01
  4.632479e+00    2.069347e+01
  4.640432e+00    2.492786e+01
  4.648385e+00    2.943766e+01
  4.656338e+00    3.396907e+01
  4.664290e+00    3.778673e+01
  4.672243e+00    4.083865e+01
  4.680196e+00    4.254493e+01
  4.688149e+00    4.301793e+01
  4.696101e+00    4.205504e+01
  4.704054e+00    3.981210e+01
  4.712007e+00    3.663725e+01
  4.719960e+00    3.257629e+01
  4.727912e+00    2.824200e+01
  4.735865e+00    2.403725e+01
  4.743818e+00    2.014413e+01
  4.751771e+00    1.674777e+01
  4.759723e+00    1.397812e+01
  4.767676e+00    1.227232e+01
  4.775629e+00    1.127671e+01
  4.783582e+00    1.070771e+01
  4.791534e+00    1.043985e+01
  4.799487e+00    1.038373e+01
  4.807440e+00    1.032856e+01
  4.815393e+00    1.032024e+01
  4.823345e+00    1.025968e+01
  4.831298e+00    1.028700e+01
  4.839251e+00    1.029545e+01
  4.847204e+00    1.032900e+01
  4.855156e+00    1.032859e+01
  4.863109e+00    1.030673e+01
  4.871062e+00    1.029359e+01
  4.879015e+00    1.023438e+01
  4.886967e+00    1.015663e+01
  4.894920e+00    1.006950e+01
  4.902873e+00    1.010231e+01
  4.910826e+00    1.023194e+01
  4.918778e+00    1.024083e+01
  4.926731e+00    1.014184e+01
  4.934684e+00    1.008564e+01
  4.942637e+00    1.013187e+01
  4.950589e+00    1.021302e+01
  4.958542e+00    1.028602e+01
  4.966495e+00    1.025020e+01
  4.974448e+00    1.026883e+01
  4.982400e+00    1.033377e+01
  4.990353e+00    1.035181e+01
  4.998306e+00    1.038524e+01
  5.006259e+00    1.034578e+01
  5.014212e+00    1.036559e+01
  5.022164e+00    1.039491e+01
  5.030117e+00    1.056624e+01
  5.038070e+00    1.062665e+01
  5.046023e+00    1.071076e+01
  5.053975e+00    1.075116e+01
  5.061928e+00    1.079809e+01
  5.069881e+00    1.087086e+01
  5.077834e+00    1.092206e+01
  5.085786e+00    1.099172e+01
  5.093739e+00    1.098121e+01
  5.101692e+00    1.098290e+01
  5.109645e+00    1.099280e+01
  5.117597e+00    1.107748e+01
  5.125550e+00    1.126818e+01
  5.133503e+00    1.136477e+01
  5.141456e+00    1.137331e+01
  5.149408e+00    1.136707e+01
  5.157361e+00    1.153014e+01
  5.165314e+00    1.173418e+01
  5.173267e+00    1.187068e+01
  5.181219e+00    1.193905e+01
  5.189172e+00    1.197654e+01
  5.197125e+00    1.205748e+01
  5.205078e+00    1.215781e+01
  5.213030e+00    1.224220e+01
  5.220983e+00    1.240210e+01
  5.228936e+00    1.270711e+01
  5.236889e+00    1.293503e+01
  5.244841e+00    1.328750e+01
  5.252794e+00    1.369867e+01
  5.260747e+00    1.415384e+01
  5.268700e+00    1.477295e+01
  5.276652e+00    1.584344e+01
  5.284605e+00    1.756557e+01
  5.292558e+00    2.083291e+01
  5.300511e+00    2.635254e+01
  5.308463e+00    3.564251e+01
  5.316416e+00    4.893266e+01
  5.324369e+00    6.653506e+01
  5.332322e+00    8.755246e+01
  5.340274e+00    1.094512e+02
  5.348227e+00    1.311988e+02
  5.356180e+00    1.510145e+02
  5.364133e+00    1.670763e+02
  5.372085e+00    1.776245e+02
  5.380038e+00    1.826142e+02
  5.387991e+00    1.833360e+02
  5.395944e+00    1.801072e+02
  5.403896e+00    1.719500e+02
  5.411849e+00    1.594269e+02
  5.419802e+00    1.441626e+02
  5.427755e+00    1.268920e+02
  5.435707e+00    1.091507e+02
  5.443660e+00    9.221845e+01
  5.451613e+00    7.753847e+01
  5.459566e+00    6.638881e+01
  5.467518e+00    5.862862e+01
  5.475471e+00    5.367696e+01
  5.483424e+00    5.110700e+01
  5.491377e+00    4.947319e+01
  5.499330e+00    4.814235e+01
  5.507282e+00    4.663191e+01
  5.515235e+00    4.439384e+01
  5.523188e+00    4.148863e+01
  5.531141e+00    3.797720e+01
  5.539093e+00    3.373814e+01
  5.547046e+00    2.939325e+01
  5.554999e+00    2.514017e+01
  5.562952e+00    2.133851e+01
  5.570904e+00    1.815624e+01
  5.578857e+00    1.584189e+01
  5.586810e+00    1.432895e+01
  5.594763e+00    1.346228e+01
  5.602715e+00    1.303765e+01
  5.610668e+00    1.282586e+01
  5.618621e+00    1.266384e+01
  5.626574e+00    1.253089e+01
  5.634526e+00    1.246414e+01
  5.642479e+00    1.242886e+01
  5.650432e+00    1.259598e+01
  5.658385e+00    1.290183e+01
  5.666337e+00    1.345006e+01
  5.674290e+00    1.417551e+01
  5.682243e+00    1.509239e+01
  5.690196e+00    1.619073e+01
  5.698148e+00    1.737871e+01
  5.706101e+00    1.844877e+01
  5.714054e+00    1.904068e+01
  5.722007e+00    1.952921e+01
  5.729959e+00    1.977728e+01
  5.737912e+00    1.986290e+01
  5.745865e+00    1.979883e+01
  5.753818e+00    1.947764e+01
  5.761770e+00    1.914705e+01
  5.769723e+00    1.838279e+01
  5.777676e+00    1.741891e+01
  5.785629e+00    1.636317e+01
  5.793581e+00    1.533050e+01
